Sel;ID;Cat;Subcat;Nome;Len;Prezzo;Iva;"Dispo gg.";"In Ordine";Insert;Uscita;Promo_Cod;Promo_Desc;Promo_Scad;Link;NuovaDescrizione
;253678;;Abbigliamento;"ABYSTYLE One Piece Calzini Skull One Size (38-43) nero, 70% cotone, 27% poliestere, 3% elastan.";95;10,96;22;5;;2025-03-06;2025-03-06;;;;;;"ABYSTYLE OP Skull Socks, one size (38-43), black, 70% cot, 27% poli, 3% elast"
;253647;Fotografia;"Accessori Fotografici";"NiSi Wizard W-63 Compatibile con Sony | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione a 0°, 90° e";130;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi Wizard W-63 for Sony; rotazione, Arca-Swiss compatibile, 0°/90°"
;253625;Fotografia;"Accessori Fotografici";"NiSi Wizard W-72 Compatibile con Fujifilm, Nikon Z, Panasonic S5, Leica SL/SL2 | Staffa di rotazione orizzontale/verticale, Arca";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi W-72 fit Fuji, Nikon Z, Pana S5, Leica SL/2 | Rot. staffa, Arca compat."
;253626;Fotografia;"Accessori Fotografici";"NiSi Wizard W-82D Compatibile con fotocamere DSLR | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi Wizard W-82D for DSLR, rotates horiz/vert, Arca-Swiss compatible"
;253621;Fotografia;"Accessori Fotografici";"NiSi Wizard W-82M Compatibile con fotocamere Canon serie R | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, ";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi Wizard W-82M for Canon R, Rotating Clamp, Arca-Swiss compatible"
;253545;Fotografia;"Adattatori e portafiltri";"NiSi Anello adattatore S6 per filettature di filtri standard (adattatori da 105 mm, 95 mm, 82 mm inclusi) | Adattatore per obiet";128;149,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi S6 Ring Adapter for standard filter threads (105mm, 95mm, 82mm)"
;253498;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 62mm-82MAG Adattatore obiettivo filettatura 62 mm per collegare filtri magnetici 82MAG";102;19,90;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi JetMag Pro 62mm-82MAG Filter Adapter for 62mm lens & 82MAG magnets"
;253499;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 67mm-82MAG Adattatore obiettivo filettatura 67 mm per collegare filtri magnetici 82MAG";102;19,90;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi JetMag Pro 67mm-82MAG Lens Adapter for 67mm filters with magnetic 82MAG"
;253494;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 82mm-82MAG Anello Adattatore obiettivo filettatura 82 mm per collegare filtri magnetici 82MAG";109;19,90;22;0;;2025-02-24;2025-02-24;;;;;;"NiSi JetMag Pro 82mm Adapter Ring for 82mm magnetic filters"
;253573;Fotografia;"Adattatori e portafiltri";"NiSi Kit Advanced 150 di Filtri da 150mm (no Holder, include 4 filtri di larghezza 150mm)";89;629,00;22;5;;2025-02-28;2025-02-28;;;;;;"NiSi 150mm Advanced Filter Kit (no Holder, 4 x 150mm filters)"
;253508;Fotografia;"Adattatori e portafiltri";"NiSi Kit portafiltro V7 da 100 mm con True Color CPL, con anello adattatore da 67-82 mm, 72-82 mm e 77-82 mm";108;249,00;22;5;;2025-02-25;2025-02-25;;;;;;"NiSi V7 100mm Filter Kit + True Color CPL + adapters 67-82, 72-82, 77-82mm"
;253879;Fotografia;"Adattatori e portafiltri";"NiSi Kit Starter 150 di Filtri da 150mm (no Holder, include 3 filtri di larghezza 150mm)";88;479,00;22;0;;2025-03-14;2025-03-14;;;;;;"NiSi 150mm Starter Kit (No Holder), includes 3 filters of 150mm width"
;253544;Fotografia;"Adattatori e portafiltri";"NiSi Portafiltro da 100 mm - Switch (compatibile con l'adattatore principale da 82 mm di V6 / V5-Pro ??/ V5)";108;90,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi 100mm Filter Tray - Switch (fits V6/V5-Pro/V5 main adapter)"
;253569;Fotografia;"Adattatori e portafiltri";"NiSi Portafiltro da 100mm per Olympus 7-14 mm f/2.8 PRO | Contiene 2 filtri da 100x100 mm e 100x150 mm (ND, GND, ecc.), rotazion";128;89,00;22;0;;2025-02-27;2025-02-27;;;;;;"NiSi 100mm Filter Holder for Olympus 7-14mm f/2.8 PRO + 2 filters (ND, GND)"
;253528;Fotografia;"Adattatori e portafiltri";"NiSi Professional Kit V7 e Filtri a lastra 100mm, Kit 7 filtri (GND Soft/Medium/Reverse 3 Stop, ND8 3 Stop, ND64 6 Stop, ND1000 ";128;929,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi Pro V7 Kit + 100mm GND (Soft/Med/Rev 3 Stop), ND8/64/1000 Filters"
;253580;Fotografia;"Adattatori e portafiltri";"NiSi S6 Supporto per Filtro per Sony FE 12-24 mm F4 G (True Color CPL) – 150 mm  Filter Holder System";103;419,00;22;5;;2025-02-28;2025-02-28;;;;;;"NiSi S6 Filter Holder for Sony FE 12-24mm F4 G (True Color CPL) – 150mm System"
;253608;Fotografia;"Adattatori e portafiltri";"NiSi Starter Kit V7 di Filtri 100mm, Kit di 2 filtri (GND 100x150 Medium 3 Stop, ND 100x100 ND1000 10 Stop) con Holder NiSi V7 c";128;399,00;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi V7 Kit 100mm: 2 filtri (GND 150x100 3 stop, ND 100x100 10 stop) + holder"
