Sel;ID;Cat;Subcat;Nome;Len;Prezzo;Iva;Dispo gg.;In Ordine;Insert;Uscita;Promo_Cod;Promo_Desc;Promo_Scad;Link;NuovaDescrizione;
;253678;;Abbigliamento;ABYSTYLE One Piece Calzini Skull One Size (38-43) nero, 70% cotone, 27% poliestere, 3% elastan.;95;10,96;22;5;;06/03/2025;06/03/2025;;;;;;ABYSTYLE OP Skull Socks, OS (38-43), black, 70% cotton, 27% poli, 3% elastan
;253647;Fotografia;Accessori Fotografici;NiSi Wizard W-63 Compatibile con Sony | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione a 0°, 90° e;130;84,99;22;5;;05/03/2025;05/03/2025;;;;;;NiSi Wizard W-63 for Sony | Tripod head, Arca-Swiss, 0°, 90° rot.
;253625;Fotografia;Accessori Fotografici;NiSi Wizard W-72 Compatibile con Fujifilm, Nikon Z, Panasonic S5, Leica SL/SL2 | Staffa di rotazione orizzontale/verticale, Arca;128;84,99;22;5;;05/03/2025;05/03/2025;;;;;;NiSi W-72 for Fuji, Nikon Z, Panasonic S5, Leica SL/2 | Rotates, Arca compat.
;253626;Fotografia;Accessori Fotografici;NiSi Wizard W-82D Compatibile con fotocamere DSLR | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione;128;84,99;22;5;;05/03/2025;05/03/2025;;;;;;NiSi Wizard W-82D for DSLR, horiz/vert rot, Arca-Swiss compat.
;253621;Fotografia;Accessori Fotografici;NiSi Wizard W-82M Compatibile con fotocamere Canon serie R | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, ;128;84,99;22;5;;05/03/2025;05/03/2025;;;;;;"NiSi Wizard W-82M for Canon R series; rot. head, Arca-Swiss compat."
;253545;Fotografia;Adattatori e portafiltri;NiSi Anello adattatore S6 per filettature di filtri standard (adattatori da 105 mm, 95 mm, 82 mm inclusi) | Adattatore per obiet;128;149;22;5;;26/02/2025;26/02/2025;;;;;;NiSi S6 Ring Adapter for standard filter threads (105mm, 95mm, 82mm incl.)
;253498;Fotografia;Adattatori e portafiltri;NiSi JetMag Pro 62mm-82MAG Adattatore obiettivo filettatura 62 mm per collegare filtri magnetici 82MAG;102;19,9;22;5;;24/02/2025;24/02/2025;;;;;;NiSi JetMag Pro 62mm-82MAG Lens Adapter for 62mm filters & 82MAG mag filters
;253499;Fotografia;Adattatori e portafiltri;NiSi JetMag Pro 67mm-82MAG Adattatore obiettivo filettatura 67 mm per collegare filtri magnetici 82MAG;102;19,9;22;5;;24/02/2025;24/02/2025;;;;;;NiSi JetMag Pro 67mm-82MAG Lens Adapter for 82MAG magnetic filters
;253494;Fotografia;Adattatori e portafiltri;NiSi JetMag Pro 82mm-82MAG Anello Adattatore obiettivo filettatura 82 mm per collegare filtri magnetici 82MAG;109;19,9;22;0;;24/02/2025;24/02/2025;;;;;;NiSi JetMag Pro 82mm Adapter Ring for 82mm Magnetic Filters
;253573;Fotografia;Adattatori e portafiltri;NiSi Kit Advanced 150 di Filtri da 150mm (no Holder, include 4 filtri di larghezza 150mm);89;629;22;5;;28/02/2025;28/02/2025;;;;;;NiSi Kit Adv 150mm Filters (No Holder, 4 x 150mm Filters Included)
