Sel;ID;Cat;Subcat;Nome;Len;Prezzo;Iva;"Dispo gg.";"In Ordine";Insert;Uscita;Promo_Cod;Promo_Desc;Promo_Scad;Link
;253678;;Abbigliamento;"ABYSTYLE One Piece Calzini Skull One Size (38-43) nero, 70% cotone, 27% poliestere, 3% elastan.";95;10,96;22;5;;2025-03-06;2025-03-06;;;;;
;253647;Fotografia;"Accessori Fotografici";"NiSi Wizard W-63 Compatibile con Sony | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione a 0°, 90° e";130;84,99;22;5;;2025-03-05;2025-03-05;;;;;
;253625;Fotografia;"Accessori Fotografici";"NiSi Wizard W-72 Compatibile con Fujifilm, Nikon Z, Panasonic S5, Leica SL/SL2 | Staffa di rotazione orizzontale/verticale, Arca";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;
;253626;Fotografia;"Accessori Fotografici";"NiSi Wizard W-82D Compatibile con fotocamere DSLR | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;
;253621;Fotografia;"Accessori Fotografici";"NiSi Wizard W-82M Compatibile con fotocamere Canon serie R | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, ";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;
;253545;Fotografia;"Adattatori e portafiltri";"NiSi Anello adattatore S6 per filettature di filtri standard (adattatori da 105 mm, 95 mm, 82 mm inclusi) | Adattatore per obiet";128;149,00;22;5;;2025-02-26;2025-02-26;;;;;
;253498;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 62mm-82MAG Adattatore obiettivo filettatura 62 mm per collegare filtri magnetici 82MAG";102;19,90;22;5;;2025-02-24;2025-02-24;;;;;
;253499;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 67mm-82MAG Adattatore obiettivo filettatura 67 mm per collegare filtri magnetici 82MAG";102;19,90;22;5;;2025-02-24;2025-02-24;;;;;
;253494;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 82mm-82MAG Anello Adattatore obiettivo filettatura 82 mm per collegare filtri magnetici 82MAG";109;19,90;22;0;;2025-02-24;2025-02-24;;;;;
;253573;Fotografia;"Adattatori e portafiltri";"NiSi Kit Advanced 150 di Filtri da 150mm (no Holder, include 4 filtri di larghezza 150mm)";89;629,00;22;5;;2025-02-28;2025-02-28;;;;;
;253508;Fotografia;"Adattatori e portafiltri";"NiSi Kit portafiltro V7 da 100 mm con True Color CPL, con anello adattatore da 67-82 mm, 72-82 mm e 77-82 mm";108;249,00;22;5;;2025-02-25;2025-02-25;;;;;
;253879;Fotografia;"Adattatori e portafiltri";"NiSi Kit Starter 150 di Filtri da 150mm (no Holder, include 3 filtri di larghezza 150mm)";88;479,00;22;0;;2025-03-14;2025-03-14;;;;;
;253544;Fotografia;"Adattatori e portafiltri";"NiSi Portafiltro da 100 mm - Switch (compatibile con l'adattatore principale da 82 mm di V6 / V5-Pro ??/ V5)";108;90,00;22;5;;2025-02-26;2025-02-26;;;;;
;253569;Fotografia;"Adattatori e portafiltri";"NiSi Portafiltro da 100mm per Olympus 7-14 mm f/2.8 PRO | Contiene 2 filtri da 100x100 mm e 100x150 mm (ND, GND, ecc.), rotazion";128;89,00;22;0;;2025-02-27;2025-02-27;;;;;
;253528;Fotografia;"Adattatori e portafiltri";"NiSi Professional Kit V7 e Filtri a lastra 100mm, Kit 7 filtri (GND Soft/Medium/Reverse 3 Stop, ND8 3 Stop, ND64 6 Stop, ND1000 ";128;929,00;22;5;;2025-02-26;2025-02-26;;;;;
;253580;Fotografia;"Adattatori e portafiltri";"NiSi S6 Supporto per Filtro per Sony FE 12-24 mm F4 G (True Color CPL) – 150 mm  Filter Holder System";103;419,00;22;5;;2025-02-28;2025-02-28;;;;;
;253608;Fotografia;"Adattatori e portafiltri";"NiSi Starter Kit V7 di Filtri 100mm, Kit di 2 filtri (GND 100x150 Medium 3 Stop, ND 100x100 ND1000 10 Stop) con Holder NiSi V7 c";128;399,00;22;5;;2025-03-05;2025-03-05;;;;;
;253466;Fotografia;"Filtri Fotografici";"Filtro UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultra-sottile re";129;26,99;22;5;;2025-02-24;2025-02-24;;;;;
;253471;Fotografia;"Filtri Fotografici";"Filtro UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultra-sottile re";129;29,99;22;5;;2025-02-24;2025-02-24;;;;;
;253475;Fotografia;"Filtri Fotografici";"Filtro UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultra-sottile re";129;27,99;22;5;;2025-02-24;2025-02-24;;;;;
;253550;Fotografia;"Filtri Fotografici";"NiSi - Filtro circolare naturale notturno 112 mm per Nikon Z 14-24 mm f/2.8S (filtro di inquinamento della luce)";112;199,00;22;5;;2025-02-26;2025-02-26;;;;;
;253493;Fotografia;"Filtri Fotografici";"NiSi - JetMag Pro 82MAG Lens Front Cap - Lente magnetica durevole e protezione filtro per filtri di dimensioni 82MAG - Attacco r";128;34,90;22;5;;2025-02-24;2025-02-24;;;;;
